mmsi	link	users	responses	longliner	pursseiner	trawler	reefers	multigear	other fishing	notfishing	multiple	baddata	not known	other	othertext	websitesfound
345140500	http://crowd.globalfishingwatch.org/project/maptests2/task/4156	katepepler,stephanielewis,isabelfleisher,ninagalle	4	1	3											https://www.iattc.org/vesselregister/VesselDetails.aspx?VesNo=15661&Lang=en,http://www.fis.com/fis/worldnews/worldnews.asp?l=e&id=76425&ndb=1http://www.astillerosarmon.com/shipbuilding/boats-fishing/item/831-oaxaca/%3Ca%20href=,http://www.fao.org/figis/vrmf/finder/search/#quick
367016310	http://crowd.globalfishingwatch.org/project/maptests2/task/4157	stephanielewis,isabelfleisher,katepepler	3						1	2						http://www.st.nmfs.noaa.gov/pls/webpls/cgv_pkg.vessel_id_list?vessel_id_in=591370http://boatdb.net/boat/la-madonna-591370.htmhttp://www.worldaffairsboard.com/showthread.php?t=40567&page=85,https://www.vesselfinder.com/vessels/LA-MADONNA-IMO-7717030-MMSI-367016310,http://www.marinetraffic.com/en/ais/details/ships/367016310
367064000	http://crowd.globalfishingwatch.org/project/maptests2/task/4158	stephanielewis,isabelfleisher,katepepler	3			3										https://web.sfos.uaf.edu/wordpress/arcticeis/wp-content/uploads/2013/02/Arctic_survey_daily_updates.2012-09-08.pdf,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/040007008,http://www.fao.org/figis/vrmf/finder/search/#basic
367075080	http://crowd.globalfishingwatch.org/project/maptests2/task/4159	stephanielewis,isabelfleisher,sidneyblack-rotchin,katepepler	4			1			1				2			http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000003623,http://www.fao.org/figis/vrmf/finder/search/#basic
367450270	http://crowd.globalfishingwatch.org/project/maptests2/task/4160	stephanielewis,isabelfleisher,katepepler	3							3						http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp?licKey=3193110,http://www.marinetraffic.com/en/ais/details/ships/367450270
367578250	http://crowd.globalfishingwatch.org/project/maptests2/task/4161	stephanielewis,isabelfleisher,katepepler	3							3						http://www.marinetraffic.com/en/ais/details/ships/367578250
367628440	http://crowd.globalfishingwatch.org/project/maptests2/task/4162	stephanielewis,isabelfleisher,katepepler	3							3						http://wireless2.fcc.gov/UlsApp/UlsSearch/license.jsp;JSESSIONID_ULSSEARCH=v1vnWRvpnb4Jjspvhdb5WvqFh9bB528Y0NF8hTh9sWNS2dwHRpQG!741707267!NONE?licKey=3607554&printable,http://www.marinetraffic.com/en/ais/details/ships/367628440
372698000	http://crowd.globalfishingwatch.org/project/maptests2/task/4163	isabelfleisher,katepepler,juliecharbonneau	3							2				1	Research vessel	http://my.pinkfroot.com/photo/fugro-discovery-mmsi-372698000,https://gisis.imo.org/Public/SHIPS/Default.aspx,http://www.marinetraffic.com/en/ais/details/ships/372698000
377339000	http://crowd.globalfishingwatch.org/project/maptests2/task/4164	isabelfleisher,katepepler,juliecharbonneau	3			1				2						http://www.datamar.com.br/ship-search/detail/491683/tokai,http://www.marinetraffic.com/en/ais/details/ships/377339000
403701810	http://crowd.globalfishingwatch.org/project/maptests2/task/4165	isabelfleisher,katepepler,juliecharbonneau	3							3						https://www.servogear.no/selected-references/ain-dar-7,https://gisis.imo.org/Public/SHIPS/Default.aspx,http://www.batservicemandal.no/vessels/item/36-m-oil-pollution-cat-ain-dar-7-8
412002218	http://crowd.globalfishingwatch.org/project/maptests2/task/4166	isabelfleisher,katepepler,juliecharbonneau,sidneyblack-rotchin	4			1						1	2			
