mmsi,model_label,student_label,student_model_agreement,model_score,type,type_score,student_confidence,pybossa_url,othertext,KRISTINA'S LABEL
219006116,Purse seine,"trawler:4,other:1,not_known:1",0,0.53,30,1,0.25,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4556,"multi_gear,",
225980581,Longliner,"longliner:2,trawler:1,not_known:1",0,0.51,30,1,0.225,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4116,,
231180000,Longliner,"longliner:1,otherfish:1,other:1,not_known:1",0,0.89,30,1,0.225,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4124,"pole and line,",
601126000,Longliner,"longliner:2,other:1,not_known:1",0,0.68,30,1,0.225,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4241,"baddata,",
224007250,Longliner,"purse_seine:1,trawler:1,other:1,not_known:1",0,0.7,30,1,0.225,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4559,"trammel nets,",
251140740,Purse seine,"otherfish:1,other:1,not_known:1",0,0.53,30,1,0.2,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4138,"pole and line ,",
271072022,Purse seine,"purse_seine:1,reefer:1,not_known:1",0,0.52,30,1,0.2,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4147,,
273810800,Longliner,"longliner:1,otherfish:1,not_known:1",0,0.97,30,0.558102345,0.2,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4150,,
416222700,Longliner,"longliner:1,not_fishing:1,not_known:1",0,1,30,1,0.2,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4221,,
440126000,Trawler,"trawler:1,other:1,not_known:1",0,0.8,51,1,0.2,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4230,"baddata,",
440151310,Purse seine,"not_fishing:1,other:1,not_known:1",0,0.83,37,1,0.2,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4231,"baddata,",
441864000,Longliner,"longliner:1,other:1,not_known:1",0,1,30,1,0.2,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4232,"baddata,",
204213000,Longliner,"longliner:2,purse_seine:1,other:1,not_known:2",0,0.9,30,1,0.2,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4547,"multi_gear,",
224081790,Longliner,"otherfish:1,other:1,not_known:1",0,0.82,30,1,0.2,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4567,"gillnetter,",
224101950,Longliner,"longliner:1,other:1,not_known:1",0,1,30,1,0.2,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4569,"handlines and pole lines,",
200003926,Trawler,"not_fishing:3,other:1,not_known:3",0,0.72,70,1,0.171428571,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4542,"cargo ship,",
200007198,Trawler,trawler,0,0.77,30,1,0.166666667,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4544,,
367075080,Longliner,"trawler:1,otherfish:1,not_known:2",0,0.55,30,1,0.15,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4159,,
412002218,Purse seine,"trawler:1,other:1,not_known:2",0,0.98,30,1,0.15,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4166,"baddata,",
440122190,Longliner,"trawler:1,other:1,not_known:2",0,0.59,30,1,0.15,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4228,"baddata,",
150000285,Trawler,purse_seine,0,0.63,30,1,0.142857143,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4540,,
200005362,Trawler,"trawler:1,other:1,not_known:5",0,0.6,30,0.987179487,0.085714286,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4543,"baddata,",
200140810,Purse seine,not_known,0,0.59,30,1,0,http://crowd.globalfishingwatch.org/project/id_fishing_vessels_v2/task/4110,,
