mmsi,link,users,responses,longliner,pursseiner,trawler,reefers,multigear,other fishing,notfishing,multiple,baddata,not known,other,othertext,websitesfound
271072382,http://crowd.globalfishingwatch.org/project/maptests2/task/469,"vaiduke2,kristinaboerder,ninagalle,juliecharbonneau,stephanielewis,cailinburmaster",6,,6,,,,,,,,,,,"http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000007259#.VqE_ACorLWI,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000007259,http://www.fao.org/figis/vrmf/finder/search/#quick,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000007259#.VrOzrLIrLIU,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000007259#.VrOz77IrLIV,http://www.fao.org/figis/vrmf/finder/search/#quick"
412457011,http://crowd.globalfishingwatch.org/project/maptests2/task/470,"vaiduke2,ninagalle,juliecharbonneau,stephanielewis,cailinburmaster,elizabethnagel",6,,,,,,,,,1,5,,,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000007259#.VrOz77IrLIV
247121880,http://crowd.globalfishingwatch.org/project/maptests2/task/471,"vaiduke2,ninagalle,juliecharbonneau,AlexCerra",4,,,4,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27817610&search_type=simple&search_id=2124,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27817610&search_type=advanced&search_id=5776,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27817610&search_type=advanced&search_id=220,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27817610&search_type=advanced&search_id=6566"
412433643,http://crowd.globalfishingwatch.org/project/maptests2/task/472,"vaiduke2,stephanielewis,ninagalle,juliecharbonneau,cailinburmaster",5,,,,,,,,,1,4,,,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000007259#.VrOz77IrLIV
228282000,http://crowd.globalfishingwatch.org/project/maptests2/task/473,"vaiduke2,juliecharbonneau,kristinaboerder,ninagalle",4,,,4,,,,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28149792&search_type=simple&search_id=6144,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28149792&search_type=advanced&search_id=7719,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=28149792&search_type=advanced&search_id=6123,http://www.fao.org/figis/vrmf/finder/search/#quick"
265616100,http://crowd.globalfishingwatch.org/project/maptests2/task/474,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis",4,,,,,,3,,,1,,,,
247121820,http://crowd.globalfishingwatch.org/project/maptests2/task/475,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis",4,,,3,,,1,,,,,,,"http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27754903&search_type=simple&search_id=6475,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27754903&search_type=advanced&search_id=6993,http://ec.europa.eu/fisheries/fleet/index.cfm?method=Search.DetailSearchSimple&event_key=27754903&search_type=advanced&search_id=1294"
412464495,http://crowd.globalfishingwatch.org/project/maptests2/task/476,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis",4,,,,,,1,,,1,2,,,
338145405,http://crowd.globalfishingwatch.org/project/maptests2/task/477,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis",4,,,,,,2,,,,2,,,http://www.st.nmfs.noaa.gov/pls/webpls/cgv_pkg.vessel_name_list
412515898,http://crowd.globalfishingwatch.org/project/maptests2/task/478,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis",4,,,,,,1,,,1,2,,,
235087027,http://crowd.globalfishingwatch.org/project/maptests2/task/479,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis",4,,,,,,3,,,1,,,,http://www.deepsea.co.uk/england/south-west/weymouth/wild-frontier/
412464331,http://crowd.globalfishingwatch.org/project/maptests2/task/480,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis",4,,,,,,1,,,,3,,,
410025515,http://crowd.globalfishingwatch.org/project/maptests2/task/481,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis,clairechristie",5,,,2,,,1,,,,2,,,
412489777,http://crowd.globalfishingwatch.org/project/maptests2/task/482,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis,clairechristie",5,,,1,,,1,,,,3,,,
412441905,http://crowd.globalfishingwatch.org/project/maptests2/task/483,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis,clairechristie",5,,,,,,1,,,,4,,,
412445383,http://crowd.globalfishingwatch.org/project/maptests2/task/484,"vaiduke2,juliecharbonneau,kristinaboerder,ciarawillis,clairechristie",5,,,,,,1,,,1,3,,,
