label,label_score,type,type_score,mmsi,link,users,responses,longliner,pursseiner,trawler,reefers,multigear,other fishing,notfishing,multiple,baddata,not known,other,othertext,websitesfound
Purse seine,0.579561174,70,1,412985000,http://crowd.globalfishingwatch.org/project/maptests2/task/4198,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Longliner,0.999974608,30,1,413205407,http://crowd.globalfishingwatch.org/project/maptests2/task/4199,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,,,,3,,,
Trawler,0.69269383,30,0.997931748,413463160,http://crowd.globalfishingwatch.org/project/maptests2/task/4200,"isabelfleisher,juliecharbonneau,clairechristie",3,,,,,,,2,,,1,,,"https://www.fleetmon.com/vessels/xiang-chun-668_0_2702500/?language=en,https://www.fleetmon.com/vessels/xiang-chun-668_0_2702500/?language=en"
Trawler,0.553725362,70,1,413666218,http://crowd.globalfishingwatch.org/project/maptests2/task/4201,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,1,,,2,,,https://translate.google.ca/translate?hl=en&sl=ko&u=https://www.vesselfinder.com/ko/vessels/YOUGUO-316-IMO-0-MMSI-413666218&prev=search
Purse seine,0.516060889,70,0.999484802,413763254,http://crowd.globalfishingwatch.org/project/maptests2/task/4202,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,,,,3,,,https://www.vesselfinder.com/vessels/YU-HONG-XIANG-8815-IMO-0-MMSI-413763254
Trawler,0.929026663,70,1,413771715,http://crowd.globalfishingwatch.org/project/maptests2/task/4203,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,1,,,2,,,http://www.myshiptracking.com/vessels/zhe-an-ji-huo-1826-mmsi-413771715-imo-
Purse seine,0.584826708,70,1,413776038,http://crowd.globalfishingwatch.org/project/maptests2/task/4204,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,1,,,2,,,
Purse seine,0.689229727,70,1,413784172,http://crowd.globalfishingwatch.org/project/maptests2/task/4205,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,2,,,1,,,"https://www.vesselfinder.com/vessels/WANTONGLINGHUO2818-IMO-0-MMSI-413784172,http://www.chinaports.com/shipdata/413784172/view"
Trawler,0.510610878,70,1,413806188,http://crowd.globalfishingwatch.org/project/maptests2/task/4206,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,,,1,2,,,
Trawler,0.983315885,70,0.990769231,413816324,http://crowd.globalfishingwatch.org/project/maptests2/task/4207,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,,,,3,,,
Purse seine,0.974799633,30,0.994851995,413905235,http://crowd.globalfishingwatch.org/project/maptests2/task/4208,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,1,,,2,,,
Trawler,0.878669977,70,1,413963275,http://crowd.globalfishingwatch.org/project/maptests2/task/4209,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,1,,,2,,,https://translate.google.ca/translate?hl=en&sl=fr&u=http://www.fleetmon.com/fr/vessels/Wanshouxianhuo7698_8026357&prev=search
Trawler,0.687222362,70,1,413970364,http://crowd.globalfishingwatch.org/project/maptests2/task/4210,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,1,,,2,,,https://www.vesselfinder.com/vessels/XING-GANG-JI-68-IMO-0-MMSI-413970364
Purse seine,0.865109324,70,0.979057592,413976922,http://crowd.globalfishingwatch.org/project/maptests2/task/4211,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,2,,,1,,,"https://www.fleetmon.com/vessels/wanchizhouhuo6766_0_8004886/?language=en,http://www.chinaports.com/shipdata/413976922/view"
Purse seine,0.678347468,70,1,413985784,http://crowd.globalfishingwatch.org/project/maptests2/task/4212,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,1,,,2,,,https://www.vesselfinder.com/vessels/QING-SHUN-2098-IMO-0-MMSI-413985784
Purse seine,0.975715756,70,1,413987196,http://crowd.globalfishingwatch.org/project/maptests2/task/4213,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,1,,,2,,,https://www.vesselfinder.com/vessels/LONG-AN-689-IMO-0-MMSI-413987196
Trawler,0.908168197,70,1,416001414,http://crowd.globalfishingwatch.org/project/maptests2/task/4214,"juliecharbonneau,clairechristie,stephanielewis",3,1,,,,,,,,,2,,,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000015668#.VuL1PeIrLIU
Longliner,0.999982727,30,1,416002061,http://crowd.globalfishingwatch.org/project/maptests2/task/4215,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,,,,3,,,
Longliner,0.999435961,30,1,416002900,http://crowd.globalfishingwatch.org/project/maptests2/task/4216,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,1,,,,2,,,https://www.portmaps.com/eng/Aiss/fong-chun-no-66-class-b-416002900
Longliner,0.999998093,30,1,416003756,http://crowd.globalfishingwatch.org/project/maptests2/task/4217,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,,,,3,,,
Longliner,0.999990582,30,1,416003765,http://crowd.globalfishingwatch.org/project/maptests2/task/4218,"juliecharbonneau,clairechristie,stephanielewis",3,1,,,,,,,,,2,,,http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000013916#.VuL2A-IrLIU
Purse seine,0.723515153,30,1,416004565,http://crowd.globalfishingwatch.org/project/maptests2/task/4219,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,,,,3,,,
Longliner,0.999998808,30,1,416016872,http://crowd.globalfishingwatch.org/project/maptests2/task/4220,"juliecharbonneau,clairechristie,stephanielewis",3,,,,,,,,,,3,,,
Longliner,0.5862872,30,1,416222700,http://crowd.globalfishingwatch.org/project/maptests2/task/4221,"clairechristie,stephanielewis,isabelfleisher",3,1,,,,,,1,,,1,,,https://www.wcpfc.int/node/16812
Longliner,0.999717799,30,1,416500000,http://crowd.globalfishingwatch.org/project/maptests2/task/4222,"clairechristie,stephanielewis,katepepler",3,,1,,,,,,,,2,,,http://www.fao.org/figis/vrmf/finder/search/#basic
Purse seine,0.999965984,30,1,418197905,http://crowd.globalfishingwatch.org/project/maptests2/task/4223,"clairechristie,stephanielewis,katepepler",3,,,,,,,2,,,1,,,"https://www.fleetmon.com/vessels/penghai16_0_10107296/?language=en,http://www.marinetraffic.com/en/ais/details/ships/418197905"
Trawler,0.858758926,70,1,431105000,http://crowd.globalfishingwatch.org/project/maptests2/task/4224,"clairechristie,stephanielewis,katepepler",3,1,,,,,,,,,2,,,http://www.fao.org/figis/vrmf/finder/search/#basic
Longliner,0.987148106,30,1,431704110,http://crowd.globalfishingwatch.org/project/maptests2/task/4225,"clairechristie,stephanielewis,katepepler",3,2,,,,,,1,,,,,,"https://www.vesselfinder.com/vessels/HOUSIN-MARU-NO62-IMO-0-MMSI-431704110,https://www.wcpfc.int/node/13537,http://www.fao.org/figis/vrmf/finder/search/#basic"
Longliner,0.986350358,37,1,431802000,http://crowd.globalfishingwatch.org/project/maptests2/task/4226,"clairechristie,stephanielewis,katepepler",3,3,,,,,,,,,,,,"https://www.wcpfc.int/node/12536,https://www.wcpfc.int/node/12536"
Longliner,0.996150503,30,1,432228000,http://crowd.globalfishingwatch.org/project/maptests2/task/4227,"clairechristie,stephanielewis,katepepler",3,2,,1,,,,,,,,,,"https://www.vesselfinder.com/vessels/KOEI-MARU-NO1-IMO-9258064-MMSI-432228000,https://www.wcpfc.int/node/12630,https://www.wcpfc.int/node/12630"
Longliner,0.993950927,30,1,440122190,http://crowd.globalfishingwatch.org/project/maptests2/task/4228,"stephanielewis,katepepler,sidneyblack-rotchin,clairechristie",4,,,1,,,,,,1,2,,,
Longliner,0.588970065,30,1,440124480,http://crowd.globalfishingwatch.org/project/maptests2/task/4229,"stephanielewis,katepepler,sidneyblack-rotchin",3,,1,,,,,,,,2,,,
Trawler,0.682358921,30,1,440126000,http://crowd.globalfishingwatch.org/project/maptests2/task/4230,"stephanielewis,katepepler,sidneyblack-rotchin",3,,,1,,,,,,1,1,,,
Trawler,0.798226833,51,1,440151310,http://crowd.globalfishingwatch.org/project/maptests2/task/4231,"stephanielewis,katepepler,sidneyblack-rotchin",3,,,,,,,1,,1,1,,,
Purse seine,0.834152699,37,1,441864000,http://crowd.globalfishingwatch.org/project/maptests2/task/4232,"stephanielewis,katepepler,sidneyblack-rotchin",3,1,,,,,,,,1,1,,,https://www.ccamlr.org/en/node/85377
Longliner,0.999559104,30,1,457900169,http://crowd.globalfishingwatch.org/project/maptests2/task/4233,"stephanielewis,katepepler,sidneyblack-rotchin",3,,,,,,,3,,,,,,"http://www.chinaports.com/shipdata/457900169/view,https://www.vesselfinder.com/nl/vessels/LCT-LIRIO-8-IMO-9780495-MMSI-548617202"
Trawler,0.558595598,70,0.999339061,466161000,http://crowd.globalfishingwatch.org/project/maptests2/task/4234,"stephanielewis,katepepler,sidneyblack-rotchin",3,,,,,,,2,,,1,,,http://www.marinetraffic.com/en/ais/details/ships/466161000
Purse seine,0.573534131,91,1,520171000,http://crowd.globalfishingwatch.org/project/maptests2/task/4235,"stephanielewis,katepepler,sidneyblack-rotchin",3,3,,,,,,,,,,,,"http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000016160#.VuL8fOIrLIU,https://www.wcpfc.int/node/17367,https://www.wcpfc.int/node/17367"
Longliner,0.99998374,30,1,525012084,http://crowd.globalfishingwatch.org/project/maptests2/task/4236,"stephanielewis,katepepler,sidneyblack-rotchin",3,,,,,,,2,,,1,,,http://www.marinetraffic.com/en/ais/details/ships/525012084
Trawler,0.505342126,31,0.998058252,525015964,http://crowd.globalfishingwatch.org/project/maptests2/task/4237,"stephanielewis,katepepler,sidneyblack-rotchin",3,,,,,,,3,,,,,,"http://swissco.infinitesparks.com/misc/Swissco_Spirit-Spec.pdf,http://www.marinetraffic.com/en/ais/details/ships/525015964"
Longliner,0.51827848,60,1,540002200,http://crowd.globalfishingwatch.org/project/maptests2/task/4238,"stephanielewis,katepepler,sidneyblack-rotchin",3,3,,,,,,,,,,,,"https://www.wcpfc.int/node/14203http://www.fao.org/figis/vrmf/finder/!/display/vessel/UID/000012863#.VuL-UOIrLIU,https://www.wcpfc.int/node/14203,https://www.wcpfc.int/node/14203"
Longliner,0.874005792,30,1,563004750,http://crowd.globalfishingwatch.org/project/maptests2/task/4239,"stephanielewis,katepepler,sidneyblack-rotchin",3,,,,,,,3,,,,,,"https://exchange.dnv.com/Exchange/Main.aspx?EXTool=Vessel&VesselID=G110849http://www.landho.cn/thread-13206-1-1.html,http://www.marinetraffic.com/en/ais/details/ships/563004750"
Trawler,0.862963021,31,1,576902000,http://crowd.globalfishingwatch.org/project/maptests2/task/4240,"stephanielewis,katepepler,sidneyblack-rotchin",3,,,1,,,,2,,,,,,"http://directory.marinelink.com/ships/ship/alden-j-laborde-16137http://www.tugspotters.com/site/content/2013/07/alden-j-laborde-sabando-tide/http://www.shipsmanagement.com/en/sh528010ip2v2d8x2u1o8b9m4y9b4p0s/particulars/,http://www.marinetraffic.com/en/ais/details/ships/576902000"
Longliner,0.525099993,65,0.333333333,601126000,http://crowd.globalfishingwatch.org/project/maptests2/task/4241,"katepepler,clairechristie,kristinaboerder,stephanielewis",4,2,,,,,,,,1,1,,,http://www.oceana.co.za/sites/default/files/ar/oceana_ar_04dec_09.pdf
Longliner,0.678280592,30,1,701000764,http://crowd.globalfishingwatch.org/project/maptests2/task/4242,"katepepler,clairechristie,sidneyblack-rotchin",3,,,2,,,1,,,,,,,"https://gisis.imo.org/Public/SHIPS/Default.aspx,https://www.fleetmon.com/vessels/codepeca-iv_0_2028924/?language=en,http://www.hull-check.com/index.php?imo=8824086"
Trawler,0.842120647,20,1,701000880,http://crowd.globalfishingwatch.org/project/maptests2/task/4243,"katepepler,clairechristie,stephanielewis",3,,,2,,,1,,,,,,,"https://gisis.imo.org/Public/SHIPS/Default.aspx,https://www.fleetmon.com/vessels/san-arawa-ii_8608224_8469520/,http://directory.marinelink.com/ships/ship/san-arawa-ii-6108https://exchange.dnv.com/Exchange/Main.aspx?EXTool=Vessel&VesselID=15082"
Trawler,0.722415805,70,1,701027000,http://crowd.globalfishingwatch.org/project/maptests2/task/4244,"katepepler,clairechristie,sidneyblack-rotchin",3,,,3,,,,,,,,,,"https://gisis.imo.org/Public/SHIPS/Default.aspx,https://www.vesselfinder.com/vessels/CENT-DEL-ATLANTICO-IMO-8610021-MMSI-701027000,https://www.vesselfinder.com/vessels/CENT-DEL-ATLANTICO-IMO-8610021-MMSI-701027000"
Longliner,0.626402378,30,0.986814998,725000261,http://crowd.globalfishingwatch.org/project/maptests2/task/4245,"katepepler,clairechristie,sidneyblack-rotchin",3,,,3,,,,,,,,,,"https://gisis.imo.org/Public/SHIPS/Default.aspx,https://www.fleetmon.com/vessels/b-f-unzen_8122684_3064186/?language=en"
Longliner,0.9946931,30,1,800019314,http://crowd.globalfishingwatch.org/project/maptests2/task/4246,"katepepler,clairechristie",2,,,,,,,,,1,1,,,
Longliner,0.658832312,30,1,800026188,http://crowd.globalfishingwatch.org/project/maptests2/task/4247,"katepepler,clairechristie",2,,,,,,,,,1,1,,,
Longliner,0.977560937,30,1,900022910,http://crowd.globalfishingwatch.org/project/maptests2/task/4248,"katepepler,clairechristie",2,,,,,,,,,1,1,,,
Purse seine,0.674624741,30,1,983191061,http://crowd.globalfishingwatch.org/project/maptests2/task/4249,"katepepler,clairechristie",2,,,,,,,2,,,,,,"http://www.marinetraffic.com/en/ais/details/ships/983191061,https://www.fleetmon.com/vessels/tt-galaxy_0_9843300/"
